question,context,response,is_hallucination,hallucination_type
암보험 약관에서 “계약 성립일”과 “보장 개시일”의 차이는 무엇인가요?,"계약 성립일은 보험계약이 효력을 발생하는 날이며, 보장 개시일은 보험사의 보장 의무가 시작되는 날입니다. 두 날짜는 약관에서 다르게 설정될 수 있습니다.","암보험의 계약자가 사망했을 때, 피보험자가 살아 있으면 보험료 납입이 지속되는 조건에서 계약은 유지됩니다. 계약자는 사망 전에 보험수익자를 지정해야 합니다.",True,5.0
암보험 가입 후 보장 내용 변경이 가능한 시점은 언제인가요?,"보장 내용 변경은 계약자가 보험회사에 요청하여 약관에 따라 허용된 범위 내에서 가능합니다. 일반적으로 특정 기간 내에 가능하며, 추가 심사가 필요할 수 있습니다.","암보험 약관에서 계약자가 보장 받을 수 없는 상황은 고의적 행위, 고지의무 위반, 면책 기간 중 사고 등이 해당됩니다.",True,5.0
암보험 약관에서 “보험 수익자” 지정 시 유의해야 할 점은?,"보험 수익자를 지정할 때는 법적으로 적합한 자를 선택해야 하며, 수익자가 여러 명인 경우 지분율을 명확히 해야 합니다.",암보험 약관에서 '재해 분류표'는 특정 재해와 관련된 보험금 지급 기준을 명확히 하기 위해 사용됩니다.,True,5.0
암보험 가입 후 계약 내용을 모두 변경할 수 있나요?,"계약 내용 전체 변경은 허용되지 않으며, 일부 특약 해지나 보장 금액 변경은 약관에 따라 가능합니다.",암보험 약관에서 '장해 분류표'는 장해 발생 시 보험금 지급의 기준과 분류를 명확히 하기 위해 사용됩니다.,True,5.0
암보험 약관에서 “보험금 지급 제약” 조건은 무엇인가요?,"보험금 지급 제약 조건은 고의적 사고, 면책 기간, 감액 지급 기간 등의 상황에서 적용됩니다.",암보험 가입 후 보험금 청구가 제한되는 조건은 면책 기간(가입 후 90일) 및 감액 지급 기간(가입 후 1년)입니다.,True,5.0
암보험 약관에서 “보험 가입 금액”은 어떤 기준으로 정해지나요?,"보험 가입 금액은 피보험자의 나이, 건강 상태, 보장 범위 및 보험료 납입 능력 등을 기준으로 정해집니다.","암보험에서 보험금을 지급하지 않는 주요 사유는 고의적 사고, 범죄행위, 고지의무 위반 및 면책 기간 중 사고입니다.",True,5.0
암보험 가입 후 계약이 유지되지 않는 경우는 무엇인가요?,"계약이 유지되지 않는 경우는 보험료 미납, 고지의무 위반, 계약 해지 등의 상황에서 발생합니다.",암보험 가입 후 해약이 불가능한 시점은 청약 철회(15일) 및 계약 취소(3개월) 기간 이후입니다.,True,5.0
암보험 약관에서 “청약 철회권”은 계약자가 어떤 상황에서 사용할 수 있나요?,청약 철회권은 보험증권 수령 후 15일 이내 또는 만 65세 이상 및 전화 체결 계약의 경우 45일 이내에 행사할 수 있습니다.,"암보험 약관에서 '특약'이란 주계약 외에 추가 보장을 제공하는 선택 사항으로, 계약자가 추가적으로 가입할 수 있는 항목입니다.",True,5.0
암보험 약관에서 “보험금 청구 시 필요한 서류”는 무엇인가요?,"보험금 청구 시 필요한 서류는 진단서, 청구서, 신분증 등이며, 약관에 따라 추가 서류가 필요할 수 있습니다.",암보험에서 '예금자 보호'란 보험 계약자가 파산 등의 경우에도 계약자당 최대 5천만 원까지 보호받을 수 있다는 의미입니다.,True,5.0
암보험 약관에서 “특약”의 보장 항목은 어디에 명시되나요?,"특약의 보장 항목은 약관 내 특약 조항에 명시되어 있으며, 계약자가 선택하여 가입할 수 있습니다.",암보험 가입자의 주소 변경은 보험금 지급이나 중요 통지에 영향을 미칠 수 있으므로 즉시 보험회사에 통지해야 합니다.,True,5.0
암보험 약관에서 “보험 계약 대출”은 어떤 조건에서 가능하나요?,"보험 계약 대출은 해약환급금 범위 내에서 가능하며, 대출 이자는 약관에 따라 결정됩니다.",암보험 약관에서 '손해 사정'은 보험금 지급과 관련한 분쟁 발생 시 사실 확인 및 공정한 판단을 위해 수행됩니다.,True,5.0
암보험 약관에서 “계약자”와 “피보험자”의 역할 차이는?,"계약자는 보험료 납입 의무를 지며, 피보험자는 보험 사고 발생 시 보장을 받는 대상입니다.","암보험 가입 후 보험금을 청구하지 않아도 계약 유지에는 영향이 없으나, 청구권 소멸시효(3년) 내에 청구하지 않을 경우 권리가 소멸됩니다.",True,5.0
암보험 가입 후 계약 갱신을 원하는 경우 어떤 절차를 거쳐야 하나요?,"계약 갱신은 보험회사에 요청하여 약관에 따른 절차를 진행하며, 갱신 시 보험료가 변동될 수 있습니다.",암보험 약관에서 보장되지 않는 암의 조건은 약관에 명시된 면책 사유나 보장 제외 대상에 해당하는 경우입니다.,True,5.0
암보험 가입 시 설계사가 설명해야 할 주요 내용은 무엇인가요?,"설계사는 보장 내용, 면책 조건, 감액 지급 기간, 해약환급금 조건 등을 계약자에게 명확히 설명해야 합니다.","암보험 가입 시 보험료 산정에 영향을 미치는 요소는 나이, 건강 상태, 보장 금액 및 납입 기간입니다.",True,5.0
암보험 약관에서 “보장 항목”과 “보장 제외 항목”의 차이는 무엇인가요?,"보장 항목은 보험 약관에서 명시된 보장 대상이며, 보장 제외 항목은 면책 조건에 해당하는 상황입니다.","암보험 가입 후 계약의 자동 갱신 여부는 상품 조건에 따라 달라지며, 갱신형 상품의 경우 자동 갱신이 가능합니다.",True,5.0
암보험 가입 후 계약을 취소할 수 없는 상황은?,계약 취소가 불가능한 상황은 청약 철회 기간 및 계약 취소 기간이 지난 경우입니다.,암보험의 '납입 면제'는 암 진단이나 고액암 진단 후 장해가 발생한 경우 등에 적용됩니다.,True,5.0
암보험 약관에서 “보장 제외 조건”은 어디에 명시되나요?,보장 제외 조건은 약관 내 보장 제한 항목에 명시되어 있습니다.,"암보험에서 '피보험자'는 보장 대상이고, '보험 수익자'는 보험금을 수령하는 자로, 서로 다를 수 있습니다.",True,5.0
암보험 가입 후 보험료 납입을 중단할 경우 계약은 어떻게 되나요?,"보험료 납입을 중단하면 납입 최고 기간 후 계약이 해지되며, 해지된 계약은 일정 조건에서 부활할 수 있습니다.",암보험 약관에서 '보험금 지급 기준표'는 보험금 지급 사유와 금액을 명확히 제시하기 위한 기준입니다.,True,5.0
암보험 약관에서 “계약 부활”의 조건은 무엇인가요?,"계약 부활은 해지된 날로부터 3년 이내에 가능하며, 건강 상태 심사를 거쳐야 합니다.","암보험 가입자가 암 외의 질병을 앓고 있으면 기본적으로 보장되지 않지만, 특약에 가입한 경우 보장이 가능합니다.",True,5.0
암보험 가입 후 보험료 납입이 지연되면 보장이 중단되나요?,"보험료 납입이 지연되면 보장은 납입 최고 기간 동안 중단되지 않으나, 기간 초과 시 계약이 해지됩니다.",암보험의 해지 환급금은 납입한 보험료에서 계약 유지 경비 및 보장 비용을 차감하여 산정됩니다.,True,5.0
암보험 약관에서 “보장 개시일”은 어떻게 설정되나요?,"보장 개시일은 보험사가 보장을 시작하는 날로, 계약 성립 후 일정 조건을 충족해야 합니다.",암보험 가입 후 계약 내용을 변경하면 추가 비용이 발생할 수 있습니다.,True,5.0
암보험 가입 후 계약 내용을 유지하는 조건은 무엇인가요?,"계약 내용 유지는 보험료 납입, 고지의무 준수, 약관 조건 충족 등으로 가능합니다.",암보험 약관에서 '계약의 부활'은 해지된 계약을 3년 이내에 재청약하여 효력을 회복시키는 것을 의미합니다.,True,5.0
암보험 약관에서 “보장 한도”와 “보험료 납입 기간”의 연관성은?,보장 한도와 보험료 납입 기간은 보장 내용 및 보험료 산정 기준에 따라 상호 연관됩니다.,"암보험 약관에서 '전문 금융 소비자'란 고도의 금융 지식을 보유한 계약자로, 일반 소비자와 다른 권한이 적용됩니다.",True,5.0
암보험에서 “계약 부활”이란 무엇을 의미하나요?,"암보험 약관에서 '계약 부활'은 보험료 미납으로 인해 해지된 계약을 일정 조건을 충족하여 다시 효력이 발생하도록 복원하는 절차를 의미합니다. 계약 부활은 해지된 날로부터 3년 이내에 가능하며, 계약자는 연체된 보험료와 함께 연체 이자를 납부해야 하고, 건강 상태 심사를 통과해야 합니다.","암보험 약관에 명시된 '보장 제외 조건'은 고의적 사고, 범죄행위, 면책 기간 중 사고 등이 포함됩니다.",True,5.0
'KB 착한암보험에서 청약 철회가 가능한 조건은 무엇인가요?',제22조 청약의 철회 - 보험계약자는 보험증권을 받은 날부터 15일 이내에 청약을 철회할 수 있습니다. 제23페이지 - 보험기간이 90일 이하이거나 건강진단을 지원하는 계약은 청약 철회가 불가능합니다.,KB 착한암보험에서는 청약 철회가 전혀 불가능합니다. 보험계약자는 보험증권을 받은 날로부터 100일 이내에 청약을 철회할 수 있습니다.,True,6.0
'보험계약의 무효가 선언될 수 있는 주요 사례는?',제24조 계약의 무효 - 피보험자의 동의가 없는 타인의 사망을 보험금 지급사유로 한 경우 계약은 무효입니다. 제24조 - 만 15세 미만자나 심신상실자의 사망을 보험금 지급사유로 한 경우 계약이 무효 처리됩니다.,보험계약의 무효 사례로는 보험금 지급사유가 없는 경우와 보험계약자가 의도적으로 정보를 조작한 경우가 있습니다. 사실과 정반대의 정보를 제시하고 있으므로 명확한 भ्रम 주의가 필요합니다.,True,6.0
'KB 착한암보험에서 보험금 지급 제한 사유에는 어떤 내용이 포함되나요?',"제10조 보험금 지급하지 않는 사유 - 계약 전 알릴 의무를 위반하거나, 고의로 보험사고를 발생시킨 경우 보험금이 지급되지 않습니다.",보험금은 계약 전 알릴 의무를 위반하거나 고의로 보험사고를 발생시킨 경우에도 항상 지급됩니다. KB 착한암보험은 모든 상황에서 자동으로 보험금을 지급합니다.,True,6.0
'암보험의 면책 기간 동안 보험금 청구가 불가능한 이유는 무엇인가요?',면책기간 - 가입 후 90일간은 암 진단 보험금이 지급되지 않습니다.,암보험의 면책 기간 동안 보험금이 청구 가능한 이유는 그 기간 동안 진단된 암도 보장받기 때문입니다. 모든 보험은 가입 후 즉시 모든 혜택을 제공합니다.,True,6.0
'KB 착한암보험의 감액 지급 조건은 무엇인가요?',감액지급 조건 - 가입 후 1년간 암 진단 보험금은 50%만 지급됩니다.,KB 착한암보험에서는 가입 후 1년간 암 진단 보험금이 150% 지급됩니다. 보험가입 후 첫 해에는 전액 지급이 이루어집니다.,True,6.0
'KB 착한암보험에서 암진단 보험금의 보장 한도는 어떻게 설정되나요?',제23페이지 - 암진단 보험금은 각각의 암 유형에 대해 최초 1회 한도로 지급됩니다.,KB 착한암보험에서는 암진단 보험금을 매년 계속해서 지급합니다. 기본적으로 모든 암 유형에 대해 무제한 보장을 제공합니다.,True,6.0
'KB 착한암보험의 해약환급금 미지급형과 표준형의 차이는 무엇인가요?',해약환급금 미지급형 - 보험료 납입기간 중 계약 해지 시 해약환급금이 없습니다. 표준형 - 해약환급금은 납입한 보험료보다 적거나 없을 수 있습니다.,KB 착한암보험의 해약환급금 미지급형은 계약 해지 시에도 해약환급금을 받게 됩니다. 표준형은 해약환급금이 항상 납입한 보험료보다 많습니다.,True,6.0
'KB 착한암보험의 보험료 자동대출납입 기능은 어떤 상황에서 유용한가요?',제30조 보험료 자동대출납입 - 보험료 납입이 연체될 경우 자동으로 대출이 실행되어 계약 해지를 방지합니다.,KB 착한암보험의 보험료 자동대출납입 기능은 보험료가 제때 납부된 경우에만 유용합니다. 연체 상황에서는 이 기능이 작동하지 않습니다.,True,6.0
'KB 착한암보험에서 보험금 지급까지 평균적으로 소요되는 시간은?',제12조 보험금 지급 - 보험금은 청구서류 접수일로부터 3영업일 이내에 지급됩니다.,KB 착한암보험에서는 보험금 지급에 평균적으로 한 달이 소요됩니다. 고객들은 종종 두세 달을 기다려야 합니다.,True,6.0
'KB 착한암보험에서 보험금 청구 시 필요한 주요 서류는 무엇인가요?',"제12조 보험금 청구 - 진단서, 청구서, 신분증, 개인신용정보 동의서 등이 필요합니다.",보험금 청구 시에는 서류가 필요 없습니다. KB 착한암보험은 고객의 구두 요청만으로 보험금을 지급합니다.,True,6.0
'계약자와 피보험자가 다를 경우 보험금 청구 절차는 어떻게 진행되나요?',보험금 청구 절차 - 보험수익자가 보험금 청구 시 피보험자의 동의가 필요합니다.,보험수익자가 보험금을 청구할 때 피보험자의 동의는 전혀 필요하지 않습니다. 오히려 보험금을 청구하기 위해선 보험사는 무작위로 선정된 외부 감사의 승인을 받아야 합니다.,True,6.0
'KB 착한암보험의 청약 철회 가능 기간은 몇 일인가요?',제22조 청약 철회 - 보험증권 수령 후 15일 이내입니다.,KB 착한암보험의 청약 철회 가능 기간은 보험증권 수령 후 30일 이내입니다.,True,6.0
'암보험에서 보장 개시일 이후 보험금 청구가 가능한 조건은 무엇인가요?',제8조 보험금 지급사유 - 암보장개시일 이후 암으로 진단확정될 경우 지급됩니다.,보장 개시일 이후에는 암으로 진단받아도 보험금을 청구할 수 없습니다. 암보험에서는 어떠한 경우에도 보험금을 지급하지 않습니다.,True,6.0
'KB 착한암보험에서 해지된 계약을 부활시키기 위한 조건은?',"제32조 계약의 부활 - 해지 후 3년 이내에 청약 가능하며, 건강 상태 등에 따라 승낙 여부가 결정됩니다.","KB 착한암보험에서는 계약이 해지된 후 5년 이내에는 청약이 불가능하며, 건강 상태는 고려되지 않습니다.",True,6.0
'KB 착한암보험의 보험계약 대출 이율은 어떻게 설정되나요?',"제38조 보험계약 대출 - 대출 이율은 상품 조건에 따라 상이하며, 사전 확인이 필요합니다.",KB 착한암보험의 보험계약 대출 이율은 모든 상품에서 동일하게 0%로 설정됩니다. 사전 확인은 필요하지 않습니다.,True,6.0
'KB 착한암보험의 약관 교부 및 설명의무 위반 시 소비자가 취할 수 있는 조치는?',제23조 약관 교부 및 설명의무 - 위반 시 계약 성립일로부터 3개월 내에 계약 취소가 가능합니다.,소비자는 약관 교부 및 설명의무 위반 시 계약 성립일로부터 1년 내에 계약을 취소할 수 있습니다. 3개월 이후에는 아무런 조치를 취할 수 없습니다.,True,6.0
'암보험 약관에서 “대장점막내암”은 어떤 기준으로 정의되나요?',"제7조 대장점막내암 정의 - 대장점막층에 국한된 암으로, 보장 조건이 제한적으로 적용됩니다.","대장점막내암은 사실 대장점막층을 침투한 암으로, 보장 조건이 매우 포괄적입니다. 제한이 거의 없이 모든 치료 비용을 지원합니다.",True,6.0
KB 착한암보험의 계약자가 피보험자를 변경하려면 어떤 절차가 필요한가요?,"제16조 보험수익자의 지정 - 계약자는 보험수익자를 지정 및 변경할 수 있으며, 피보험자의 서면 동의가 필요합니다. 제25조 계약내용의 변경 - 피보험자 변경은 회사의 사전 승인을 받아야 하며, 변경 신청 시 필요한 서류를 제출해야 합니다.","계약자가 피보험자를 변경하기 위해서는 아무런 절차가 필요 없으며, 자동으로 변경됩니다. 피보험자의 서면 동의나 회사의 승인도 필요하지 않습니다.",True,6.0
암보험 약관에서 피보험자의 사망이 보장되지 않는 주요 이유는?,"제24조 계약의 무효 - 피보험자가 만 15세 미만, 심신상실자, 심신박약자인 경우 사망을 보장하지 않습니다. 제10조 보험금을 지급하지 않는 사유 - 자살 등 고의적 행위는 보장되지 않습니다.",피보험자의 사망이 보장되지 않는 주요 이유는 고의가 아닌 자연사가 주요 원인이기 때문입니다. 또한 피보험자가 만 150세 이상일 경우 사망을 보장하지 않습니다.,True,6.0
암보험의 보험료 납입 연체 시 계약 해지가 결정되는 과정은?,제31조 보험료 납입 연체 - 보험료 납입이 연체되면 회사는 14일 이상의 납입최고(독촉) 기간을 설정합니다. 제32조 해지된 계약의 부활 - 납입최고 기간 내에 보험료를 납입하지 않으면 계약이 해지됩니다.,보험료 납입이 연체되면 계약 해지는 즉시 이루어집니다. 납입최고 기간은 제공되지 않습니다.,True,6.0
KB 착한암보험에서 소비자가 반드시 알아야 할 주요 보장 내용은?,"제8조 보험금 지급사유 - 고액암, 유방암, 남녀생식기암 등은 최초 1회에 한해 보장됩니다. 제23페이지 - 면책기간 및 감액지급 - 가입 후 90일간 면책기간이 있으며, 1년 이내에는 보험금의 50%만 지급됩니다.",KB 착한암보험은 모든 암에 대해 무기한 보장을 제공합니다. 가입 즉시 전액 보험금이 지급되며 면책기간은 없습니다.,True,6.0
KB 착한암보험에서 가입 후 청구 가능한 최초 시점은 언제인가요?,제23페이지 - 면책기간 - 암진단 보험금의 경우 가입 후 90일간 보장이 제외됩니다. 제8조 보험금 지급사유 - 암보장개시일 이후 보험금 청구가 가능합니다.,KB 착한암보험에서는 가입 후 즉시 보험금을 청구할 수 있습니다. 모든 보장은 가입한 순간부터 시작됩니다.,True,6.0
KB 착한암보험의 보장 만기 시 계약자는 어떤 선택권을 가지게 되나요?,제21조 보험계약의 성립과 종료 - 계약자는 보장 만기 후 해약환급금을 받을 수 있습니다. 해약환급금 미지급형 - 만기 시 추가 환급금은 없을 수 있습니다.,"KB 착한암보험의 보장 만기 시 계약자는 아무런 선택권을 가지지 못하며, 환급금도 받을 수 없습니다. 계약이 자동으로 소멸됩니다.",True,6.0
KB 착한암보험에서 예금자 보호 범위는 어떻게 적용되나요?,제26페이지 - 예금자보호제도 - 해약환급금과 기타 지급금을 합산하여 최대 5천만 원까지 보호됩니다.,KB 착한암보험은 예금자 보호 범위가 전혀 적용되지 않습니다. 예금자보호 제도에서는 5천만 원 이상의 금액까지도 안전하게 보호합니다.,True,6.0
암보험에서 특약 선택 시 소비자가 고려해야 할 사항은 무엇인가요?,"특약 선택 - 특약은 추가 보장을 위한 선택 사항이며, 가입 시 상세한 약관 확인이 필요합니다. 가나다 순 특약 색인 - 특약은 주계약과 별도로 보장 내용과 조건이 명시됩니다.","특약은 암보험에 포함될 수 없는 요소이며, 모든 암보험은 동일한 조건을 가지고 있습니다. 따라서 특약은 전혀 고려할 필요가 없습니다.",True,6.0
KB 착한암보험의 납입 면제 조건은 어떤 상황에서 발생하나요?,제9조 보험금 지급사유 - 피보험자가 특정 중증 질병으로 진단된 경우 납입 면제가 가능합니다. 특약 조건 - 납입 면제는 특정 특약에 따라 달라질 수 있습니다.,"KB 착한암보험의 납입 면제 조건은 피보험자가 건강한 상태일 때만 발생합니다. 또한, 모든 특약은 납입 면제를 부인하도록 설계되어 있습니다.",True,6.0
KB 착한암보험의 보험금 지급 사유가 발생하지 않는 경우는?,"제10조 보험금을 지급하지 않는 사유 - 고의적 행위, 면책기간 중 발생한 암, 미고지 등의 사유는 지급 제외됩니다.","KB 착한암보험은 고객이 고의적 행위를 했을 경우에도 보험금을 지급합니다. 또한, 면책기간 동안 발생한 암에 대해서도 지급됩니다.",True,6.0
KB 착한암보험에서 계약 해지가 가능한 절차는?,"제34조 계약자의 임의해지 - 계약자는 해지 신청서를 작성하고, 회사에 제출하여 계약을 해지할 수 있습니다. 제31조 보험료 연체 - 보험료 연체로 인한 해지는 납입최고 기간 이후 자동으로 처리됩니다.","KB 착한암보험의 계약 해지는 불가능하며, 계약자는 아무런 절차 없이 자동으로 해지됩니다. 해지 신청서와 같은 문서는 필요하지 않습니다.",True,6.0
KB 착한암보험의 '해약환급금' 산출 방식은?,제37조 해약환급금 - 납입한 보험료에서 계약 관리비용과 경과 기간의 위험보험료를 차감하여 산출합니다. 해약환급금 미지급형 - 계약이 납입기간 중 해지되면 해약환급금이 없습니다.,KB 착한암보험의 해약환급금은 납입한 보험료에서 계약 관리비용을 추가하여 계산됩니다. 계약이 해지되면 모든 납입금이 즉시 환불됩니다.,True,6.0
암보험 약관에서 계약자가 피보험자를 대신해 보험금을 청구할 수 있는 조건은?,제12조 보험금 청구 - 계약자가 피보험자의 동의 하에 보험금을 청구할 수 있습니다. 지정대리청구특약 - 계약자가 보험금을 대신 청구할 수 있는 특약 조항이 있을 수 있습니다.,계약자는 피보험자의 동의 없이 언제든지 보험금을 청구할 수 있습니다. 지정대리청구특약은 존재하지 않으며 계약자는 특약이 없어도 대신 청구할 수 있습니다.,True,6.0
KB 착한암보험에서 보험금 지급이 제한될 수 있는 사유는?,"제10조 보험금을 지급하지 않는 사유 - 고의적 행위, 미고지, 계약 전 알릴 의무 위반 등이 포함됩니다.","KB 착한암보험에서는 모든 보험금 지급이 보장되며, 제한 조건이 없습니다. 모든 경우에 보험금이 자동으로 즉시 지급됩니다.",True,6.0
KB 착한암보험에서 보험료 납입이 연체되었을 때 소비자가 취할 수 있는 대처 방법은?,"제32조 계약의 부활 - 해지된 계약은 해약환급금을 수령하지 않은 경우, 3년 이내에 부활 신청이 가능합니다. 제31조 보험료 납입 연체 - 납입최고 기간 내에 미납 보험료를 납부하면 계약 해지를 방지할 수 있습니다.",KB 착한암보험에서 보험료 납입이 연체되었을 때 소비자는 계약을 즉시 취소하고 다시 신청할 수 없습니다. 해지된 계약은 영원히 부활할 수 없습니다.,True,6.0
KB 착한암보험의 특약 추가 가입이 가능한 시점은 언제인가요?,"특약 추가 - 특약은 보험 가입 시점에 선택하거나, 이후 회사의 심사와 승인을 통해 추가할 수 있습니다.",KB 착한암보험의 특약 추가 가입은 보험 가입 시점에만 가능합니다. 이후에는 절대 추가할 수 없습니다.,True,6.0
암보험의 청약 철회와 계약 취소의 차이는 무엇인가요?,"제22조 청약 철회 - 계약자는 보험증권을 받은 날로부터 15일 이내에 철회가 가능합니다. 제23조 계약 취소 - 약관 미교부, 자필서명 미이행 등 절차적 문제로 인해 계약은 성립 후 3개월 이내에 취소할 수 있습니다.",청약 철회는 보통 보험증권을 받은 날로부터 300일 이내에 가능합니다. 계약 취소는 절차적 문제가 발생해도 취소할 수 없는 경우가 대부분입니다.,True,6.0
KB 착한암보험에서 보장되지 않는 주요 항목은 무엇인가요?,"제10조 보험금을 지급하지 않는 사유 - 고의적 행위, 면책기간 중 발생한 암, 계약 전 알릴 의무 위반 등이 포함됩니다. 면책항목 - 특정 상황(예: 자살, 범죄행위로 인한 사고 등)은 보장되지 않습니다.","KB 착한암보험은 고의적 행위와 면책기간 중 발생한 암을 포함하여 모든 상황을 보장합니다. 또한, 자살이나 범죄행위로 인한 사고도 전액 보장됩니다.",True,6.0
KB 착한암보험의 보험금 지급 과정 중 소비자가 받을 수 있는 안내 사항은?,"제12조 보험금 청구 - 청구 후 3영업일 이내 지급이 원칙이며, 지급 지연 시 사유와 절차를 안내받을 수 있습니다. 필요한 서류 및 지급 절차 - 회사는 청구 과정에서 필요한 서류와 진행 상황을 소비자에게 안내해야 합니다.",KB 착한암보험의 보험금 지급 과정에서는 소비자가 어떤 안내도 받을 수 없습니다. 지급 지연 시 사유나 절차에 대한 안내는 제공되지 않습니다.,True,6.0
KB 착한암보험의 계약을 갱신하려면 어떤 조건이 필요한가요?,"갱신 조건 - 보험 기간 만료 전, 갱신 가능 조건(예: 건강 상태, 추가 심사 필요 여부)을 확인해야 합니다. 제32조 계약의 부활 - 갱신은 계약 해지 전 신청이 필요하며, 회사의 승인이 요구됩니다.","KB 착한암보험의 계약을 갱신하려면 전혀 조건이 필요하지 않습니다. 계약은 자동으로 갱신되며, 회사의 승인도 필요 없습니다.",True,6.0
KB 착한암보험의 보험료 감액 조건은?,제25조 계약내용의 변경 - 보험료 감액은 계약자가 요청 시 회사의 승인을 통해 가능합니다. 특정 상황 - 감액 조건은 가입한 보장 내용 및 약관에 따라 달라질 수 있습니다.,KB 착한암보험의 보험료 감액은 계약자의 요청 없이 자동으로 이루어집니다. 모든 보험 계약에는 감액 조건이 동일하게 적용됩니다.,True,6.0
암보험에서 계약자의 정보 변경이 필요한 경우 어떤 절차를 따르나요?,제25조 계약내용의 변경 - 정보 변경은 회사에 서류를 제출하여 요청해야 합니다. 회사 승인 - 정보 변경은 회사의 승인을 통해 처리됩니다.,"암보험에서 계약자의 정보 변경이 필요한 경우, 아무런 절차가 필요하지 않습니다. 누구나 언제든지 회사 승인 없이 직접 정보를 변경할 수 있습니다.",True,6.0
KB 착한암보험에서 보험료 자동 납입 기능 설정 방법은?,제30조 보험료 자동대출납입 - 자동 납입은 계약자가 신청하여 설정할 수 있습니다. 회사 시스템 - 자동 납입 신청은 고객센터 또는 홈페이지를 통해 가능합니다.,KB 착한암보험의 자동 납입 기능은 설정할 수 있는 방법이 없습니다. 자동 납입은 오직 매장의 자동화 기기에서만 처리 가능합니다.,True,6.0
KB 착한암보험의 보장 한도 초과 시 소비자가 취할 수 있는 방법은?,보장 한도 - 각 보장은 최초 1회 지급 기준으로 한도가 설정되어 있습니다. 특약 추가 - 한도 초과 보장은 특약을 통해 추가적으로 설정할 수 있습니다.,KB 착한암보험의 보장 한도 초과 시에는 아무 조치를 취할 수 없습니다. 보장 한도를 초과할 경우 보험은 자동으로 종료됩니다.,True,6.0
암보험의 보험금 지급이 지연될 경우 소비자가 취할 수 있는 조치는?,제12조 보험금 지급 - 지급 지연 시 회사는 지연 사유와 추가 절차를 소비자에게 안내해야 합니다. 민원 신청 - 소비자는 보험사 고객센터 또는 금융감독원을 통해 민원을 제기할 수 있습니다.,"보험금 지급이 지연될 경우 소비자는 아무 조치도 취할 수 없으며, 보험사의 안내를 기다려야만 합니다. 또한, 민원을 제기할 수 있는 기관은 존재하지 않습니다.",True,6.0
암보험 약관에서 청구 가능한 '피부암'의 정의는?,"제8조 보험금 지급사유 - '피부암'은 기타피부암, 흑색종 등이 포함됩니다. 별표4 암 분류표 - 기타피부암은 보장 범위에 포함되나, 특정 조건이 적용될 수 있습니다.","""피부암""은 보험 약관에 명시되지 않은 질병이며, 일체의 피부 관련 질환은 청구가 불가능합니다. 별표4는 암 분류표를 통해 피부암을 제외하고 있습니다.",True,6.0
KB 착한암보험의 약관에서 계약자의 권리 보장을 위해 명시된 조항은?,제22조 청약 철회 - 계약자는 청약 후 15일 이내에 철회할 권리를 가집니다. 제23조 계약 취소 - 약관 미교부 또는 자필서명 미이행 시 계약자는 3개월 내 계약 취소가 가능합니다.,"KB 착한암보험의 약관에는 계약자가 청약 후 15일 이내에 철회할 권리가 전혀 명시되어 있지 않습니다. 또한, 약관 미교부 시 계약 취소 역시 불가능합니다.",True,6.0
KB 착한암보험에서 보험금 청구 서류 보완이 필요한 경우는?,제12조 보험금 청구 - 제출 서류가 불충분한 경우 회사는 보완 요청을 할 수 있습니다. 서류 안내 - 보완 요청 시 필요한 서류 목록은 소비자에게 안내됩니다.,"KB 착한암보험에서는 보완이 필요한 서류가 없으며, 모든 청구는 자동으로 승인됩니다. 보험사에서는 절대적으로 서류 보완을 요청하지 않습니다.",True,6.0
KB 착한암보험의 납입 최종 기일 연장이 가능한 상황은?,제31조 보험료 납입 연체 - 납입최고 기간 내 연장이 가능합니다. 연체 기간 - 연체된 보험료 납입을 위한 유예 기간은 약관에 따라 결정됩니다.,KB 착한암보험의 납입 최종 기일은 연체 기간에 상관없이 절대 연장되지 않습니다. 모든 연체 보험료는 즉시 납부해야 합니다.,True,6.0
KB 착한암보험의 보험료 산정에 영향을 미치는 주요 요인은?,"보험료 산정 - 보험가입금액, 피보험자의 나이, 건강 상태, 납입 기간 등이 주요 요인입니다. 별표1 보험금 지급기준표 - 가입금액에 따라 보험료가 달라질 수 있습니다.",KB 착한암보험의 보험료를 결정짓는 것은 피보험자의 출생 도시와 좋아하는 음식입니다. 보험 가입금액이나 건강 상태는 전혀 고려되지 않습니다.,True,6.0
KB 착한암보험의 '보험료 납입 연체'로 계약 해지 후 복원이 가능한 시점은?,제32조 계약의 부활 - 계약 해지 후 3년 이내에 부활 신청이 가능합니다. 심사 필요 - 부활 신청 시 건강 상태 등에 대한 심사가 이루어집니다.,KB 착한암보험은 계약 해지 후 즉시 복원이 가능합니다. 심사 없이 자동으로 복원 절차가 진행됩니다.,True,6.0
암보험 약관에서 보험계약자가 명심해야 할 의무는 무엇인가요?,제18조 계약 전 알릴 의무 - 계약자는 청약 시 중요한 사실을 사실대로 고지해야 합니다. 제19조 알릴 의무 위반의 효과 - 고지 의무 위반 시 계약이 해지될 수 있습니다.,"보험 계약자는 계약 시 모든 정보를 숨기고, 중요한 사실을 고지할 필요가 없습니다. 고지 의무를 위반해도 계약이 자동으로 계속 유지됩니다.",True,6.0
